State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Massachusetts,MA,Deb Goldberg,Democratic,2015-01-21,Treasurer and Receiver-General,Treasurer,MassTreasury,DebGoldbergMA,NA
Michigan,MI,Gretchen Whitmer,Democratic,2019-01-01,Governor,Governor,GovWhitmer,gretchenwhitmer,NA
Michigan,MI,Garlin Gilchrist,Democratic,2019-01-01,Lt. Governor,LtGov,LtGovGilchrist,garlin,NA
Michigan,MI,Jocelyn Benson,Democratic,2019-01-01,Secretary of State,SecState,MichSoS,JocelynBenson,NA
Michigan,MI,Dana Nessel,Democratic,2019-01-01,Attorney General,StateAG,MIAttyGen,dananessel,NA
Michigan,MI,Rachael Eubanks,Independent,2019-01-01,Treasurer,Treasurer,MITreasEubanks,NA,NA
Minnesota,MN,Tim Walz,Democratic–Farmer–Labor,2019-01-07,Governor,Governor,GovTimWalz,Tim_Walz,NA
Minnesota,MN,Peggy Flanagan,Democratic (DFL),2019-01-07,Lt. Governor,LtGov,LtGovFlanagan,peggyflanagan,NA
Minnesota,MN,Steve Simon,Democratic,2015-01-05,Secretary of State,SecState,MNSteveSimon,NA,NA
Minnesota,MN,Keith Ellison,Democratic,2019-01-07,Attorney General,StateAG,AGEllison,keithellison,NA
Minnesota,MN,Jim Schowalter,Democratic,2020-09-02,Commissioner of Management and Budget,Treasurer,NA,NA,NA
Mississippi,MS,Tate Reeves,Republican,2020-01-14,Governor,Governor,tatereeves,NA,NA
Mississippi,MS,Delbert Hosemann,Republican,2020-01-14,Lt. Governor,LtGov,NA,DelbertHosemann,NA
Mississippi,MS,Michael Watson,Republican,2020-01-14,Secretary of State,SecState,MichaelWatsonMS,NA,NA
Mississippi,MS,Lynn Fitch,Republican,2020-01-09,Attorney General,StateAG,LynnFitchAG,NA,NA
Mississippi,MS,David McRae,Republican,2020-01-14,Treasurer,Treasurer,NA,DavidMcRaeMS,NA
Missouri,MO,Mike Parson,Republican,2018-06-01,Governor,Governor,GovParsonMO,mikeparson,NA
Missouri,MO,Mike Kehoe,Republican,2018-06-18,Lt. Governor,LtGov,LtGovMikeKehoe,NA,NA
Missouri,MO,Jay Ashcroft,Republican,2017-01-09,Secretary of State,SecState,MissouriSOS,JayAshcroftMO,NA
Missouri,MO,Eric S. Schmitt,Republican,2019-01-03,Attorney General,StateAG,AGEricSchmitt,Eric_Schmitt,NA
Missouri,MO,Scott Fitzpatrick,Republican,2019-01-14,Treasurer,Treasurer,MOTreasurer,FitzpatrickMO,NA
Montana,MT,Greg Gianforte,Republican,2021-01-04,Governor,Governor,GovGianforte,GregForMontana,NA
Montana,MT,Kristen Juras,Republican,2021-01-04,Lt. Governor,LtGov,NA,NA,NA
Montana,MT,Christi Jacobsen,Republican,2021-01-04,Secretary of State,SecState,SOSJacobsen,christi4montana,NA
Montana,MT,Austin Knudsen,Republican,2021-01-04,Attorney General,StateAG,MTAGKnudsen,NA,NA
Montana,MT,Brendan Beatty,Republican,2021-01-04,Director of the Department of Revenue,Treasurer,NA,NA,NA
Nebraska,NE,Pete Ricketts,Republican,2015-01-08,Governor,Governor,GovRicketts,RickettsForGov,NA
Nebraska,NE,Mike Foley,Republican,2015-01-08,Lt. Governor,LtGov,NA,NA,NA
Nebraska,NE,Bob Evnen,Republican,2019-01-10,Secretary of State,SecState,NEvnen,NA,NA
Nebraska,NE,Doug Peterson,Republican,2015-01-08,Attorney General,StateAG,AGDougPeterson,NA,NA
Nebraska,NE,John Murante,Republican,2019-01-09,Treasurer,Treasurer,NeTreasurer,NA,NA
Nevada,NV,Steve Sisolak,Democratic,2019-01-07,Governor,Governor,GovSisolak,SteveSisolak,NA
Nevada,NV,Lisa Cano Burkhead,Democratic,2021-12-16,Lt. Governor,LtGov,LGCanoBurkhead,LisaforNevada,NA
Nevada,NV,Barbara Cegavske,Republican,2015-01-05,Secretary of State,SecState,NVSOS,NA,NA
Nevada,NV,Aaron Ford,Democratic,2019-01-07,Attorney General,StateAG,NevadaAG,AaronDFordNV,NA
Nevada,NV,Zach Conine,Democratic,2019-01-07,Treasurer,Treasurer,NVTreasurer,Zconine,NA
New Hampshire,NH,Chris Sununu,Republican,2017-01-05,Governor,Governor,GovChrisSununu,ChrisSununu,NA
New Hampshire,NH,David Scanlan,Republican,2022-01-10,Secretary of State,SecState,davidmscanlan,NA,NA
New Hampshire,NH,John Formella,Republican,2021-04-22,Attorney General,StateAG,NA,JohnFormella,NA
New Hampshire,NH,Monica Mezzapelle,Democratic,"March 27, 2020Acting: March 27, 2020 – December 2, 2020",Treasurer,Treasurer,NA,NA,NA
New Jersey,NJ,Phil Murphy,Democratic,2018-01-16,Governor,Governor,GovMurphy,PhilMurphyNJ,NA
New Jersey,NJ,Sheila Oliver,Democratic,2018-01-16,Lt. Governor,LtGov,LtGovOliver,SheilaOliverNJ,NA
New Jersey,NJ,Tahesha Way,Democratic,2018-01-16,Secretary of State,SecState,SecretaryWay,NA,NA
New Jersey,NJ,Matt Platkin,Democratic,2022-02-14,Attorney General,StateAG,NewJerseyOAG,mattplatkin,NA
New Jersey,NJ,Liz Muoio,Democratic,2018-01-16,Treasurer,Treasurer,NJTreasury,lizmuoioNJ,NA
New Mexico,NM,Michelle Lujan Grisham,Democratic,2019-01-01,Governor,Governor,Michelle4NM,GovMLG,NA
New Mexico,NM,Howie Morales,Democratic,2019-01-01,Lt. Governor,LtGov,LtGovMorales,morales4ltgovnm,NA
New Mexico,NM,Maggie Toulouse Oliver,Democratic,2016-12-09,Secretary of State,SecState,NMSecOfState,NMSOSMaggie,NA
New Mexico,NM,Hector Balderas,Democratic,2015-01-01,Attorney General,StateAG,NewMexicoOAG,HectorBalderas,NA
New Mexico,NM,Tim Eichenberg,Democratic,2015-01-01,Treasurer,Treasurer,NM_Treasurer,NA,NA
New York,NY,Kathy Hochul,Democratic,2021-08-24,Governor,Governor,GovKathyHochul,KathyHochul,NA
New York,NY,Brian Benjamin,Democratic,2021-09-09,Lt. Governor,LtGov,LtGovBenjamin,brianbenjaminny,NA
New York,NY,Robert J. Rodriguez,Democratic,2021-11-04,Secretary of State,SecState,NYSecofState,NA,NA
New York,NY,Letitia James,Democratic,2019-01-01,Attorney General,StateAG,NewYorkStateAG,TishJames,NA
New York,NY,Thomas DiNapoli,Democratic,2007-02-02,Comptroller,Treasurer,NYSComptroller,TomDiNapoli,NA
North Carolina,NC,Roy Cooper,Democratic,2017-01-01,Governor,Governor,NC_Governor,RoyCooperNC,NA
North Carolina,NC,Mark Robinson,Republican,2021-01-01,Lt. Governor,LtGov,NA,markrobinsonnc,NA
North Carolina,NC,Elaine Marshall,Democratic,1997-01-03,Secretary of State,SecState,NCSecState,Elaine4NC,NA
North Carolina,NC,Josh Stein,Democratic,2017-01-01,Attorney General,StateAG,NCAGO,JoshStein_,NA
North Carolina,NC,Dale Folwell,Republican,2017-01-01,Treasurer,Treasurer,NCTreasurer,DaleFolwell,NA
North Dakota,ND,Doug Burgum,Republican,2016-12-15,Governor,Governor,DougBurgum,DougForDakota,NA
North Dakota,ND,Brent Sanford,Republican,2016-12-15,Lt. Governor,LtGov,BrentSanfordND,BrentForDakota,NA
North Dakota,ND,Al Jaeger,Republican,1993-01-01,Secretary of State,SecState,NA,NA,NA
North Dakota,ND,Drew Wrigley,Republican,2022-02-09,Attorney General,StateAG,NA,DrewWrigley,NA
North Dakota,ND,Thomas Beadle,Republican,2021-01-01,Treasurer,Treasurer,ThomasBeadle,NA,NA
Ohio,OH,Mike DeWine,Republican,2019-01-14,Governor,Governor,GovMikeDeWine,MikeDeWine,NA
